LEA_CODE,LEA_NAME,AR,AW,AP,BT,BS,D,K,PA,PS,PF,PW,R,RW,SA,SO,IM,# of acts,ADM,crime_rate,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,LEA_CODE,LEA_Name,d_Total,d_Female,d_Male,d_Asian,d_Black,d_Hispanic,d_American_Indian,d_Two-or-More-Races,d_NHPI,d_White,District_Name,Growth_AIG,All Students,Growth_American Indian,Growth_Asian,Growth_Black,Growth_ED,Growth_ELL,Growth_Hispanic,Growth_SwD,Growth_MultiRacial,Growth_White
230,Cleveland County Schools,3,0,13,0,0,0,0,9,80,0,22,0,0,0,1,0,128,14216,9.0,,,,,,,240,Columbus County Schools,29.0,9.0,20.0,0.0,8.0,0.0,0.0,4.0,0.0,17.0,Cleveland County Schools,-0.6659999999999999,-3.926,,,-3.2275,-3.4799999999999995,,-1.4733333333333334,-1.9925,-0.5,-2.5780000000000003
240,Columbus County Schools,0,0,4,0,0,0,0,1,10,0,9,0,0,0,0,0,24,5475,4.38,,,,,,,241,Whiteville City Schools,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Clinton City Schools,2.96,0.8,,,-0.05,-1.34,0.58,-0.03,,-1.7,1.93
241,Whiteville City Schools,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,7,2196,3.19,,,,,,,250,Craven County Schools,87.0,27.0,60.0,1.0,29.0,15.0,0.0,8.0,0.0,34.0,Columbus County Schools,0.13333333333333333,-2.4275,-2.52,,-0.6925,-1.715,,-0.9066666666666666,-0.6900000000000001,,-2.3825
250,Craven County Schools,0,1,52,0,1,0,0,7,33,1,30,1,0,1,0,0,127,13329,9.53,,,,,,,260,Cumberland County Schools,259.0,100.0,159.0,1.0,129.0,34.0,8.0,23.0,1.0,63.0,Craven County Schools,-0.9675,-2.024,,-0.21,-2.083333333333333,-1.7100000000000002,-0.27,-0.18000000000000002,-2.3000000000000003,-0.4000000000000001,-1.72
260,Cumberland County Schools,0,6,132,0,0,0,0,20,152,4,103,0,0,3,0,0,420,49503,8.48,,,,,,,270,Currituck County Schools,24.0,12.0,12.0,0.0,4.0,0.0,0.0,5.0,0.0,15.0,Cumberland County Schools,1.0921428571428575,0.7582352941176471,0.97,2.08,0.3805882352941177,0.3011764705882354,-0.185,0.44,-1.838,-0.15999999999999998,0.3592857142857143
270,Currituck County Schools,0,0,1,0,0,0,0,2,2,0,2,0,0,0,0,0,7,4049,1.73,,,,,,,280,Dare County Schools,24.0,13.0,11.0,0.0,1.0,8.0,0.0,2.0,5.0,12.0,Currituck County Schools,0.020000000000000014,2.895,,,-0.88,2.37,,-1.01,-2.03,-0.16,2.75
280,Dare County Schools,0,0,1,0,0,0,0,2,9,0,2,0,0,0,0,0,14,5108,2.74,,,,,,,290,Davidson County Schools,146.0,59.0,87.0,2.0,5.0,13.0,0.0,6.0,0.0,120.0,Dare County Schools,0.31000000000000005,2.58,,,0.77,1.42,,1.02,0.435,,2.275
290,Davidson County Schools,4,3,28,1,0,0,0,27,47,3,37,0,0,2,0,0,152,18620,8.16,,,,,,,291,Lexington City Schools,19.0,8.0,11.0,0.0,4.0,7.0,0.0,1.0,0.0,7.0,Davidson County Schools,-0.09857142857142856,-0.1211111111111113,,,-0.05666666666666668,-0.5822222222222222,,0.26666666666666666,-0.4242857142857143,-1.26,-0.1999999999999999
291,Lexington City Schools,1,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,8,2973,2.69,,,,,,,292,Thomasville City Schools,18.0,10.0,8.0,5.0,6.0,5.0,0.0,1.0,0.0,5.0,Davie County Schools,-2.875,-4.5299999999999985,,,-2.17,-2.87,-0.71,-1.1,-3.3,0.45,-4.02
292,Thomasville City Schools,0,0,0,0,0,0,0,0,7,0,2,0,0,1,0,0,10,2254,4.44,,,,,,,300,Davie County Schools,73.0,26.0,47.0,0.0,6.0,14.0,0.0,6.0,0.0,47.0,Duplin County Schools,0.02250000000000002,1.0514285714285714,,,0.15999999999999992,1.0,0.51,1.254,-0.6499999999999999,,-0.004000000000000092
295,Innovative School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0.0,,,,,,,310,Duplin County Schools,95.0,28.0,67.0,0.0,18.0,54.0,0.0,3.0,0.0,20.0,Durham Public Schools,1.53,2.4366666666666665,,1.2033333333333334,1.252222222222222,1.7033333333333334,0.85,1.4444444444444444,-0.23857142857142855,0.19000000000000006,0.58
300,Davie County Schools,0,0,4,0,0,0,0,2,2,0,3,0,0,0,0,0,11,6100,1.8,,,,,,,320,Durham Public Schools,444.0,172.0,272.0,0.0,215.0,195.0,2.0,11.0,0.0,21.0,Edenton-Chowan Schools,0.35,-0.99,,,0.02,-1.07,,-0.55,0.67,,-0.74
310,Duplin County Schools,0,0,5,0,0,0,0,14,11,0,5,0,0,0,0,0,35,9450,3.7,,,,,,,330,Edgecombe County Public Schools,86.0,31.0,55.0,0.0,46.0,10.0,0.0,3.0,0.0,27.0,Edgecombe County Public School,0.4766666666666666,0.4649999999999999,,,0.3125000000000001,-0.4466666666666667,,0.45,-0.5933333333333334,,-0.7233333333333335
320,Durham Public Schools,0,6,24,2,0,0,0,22,158,4,89,0,0,11,0,0,316,32256,9.8,,,,,,,340,Winston Salem/Forsyth County Schools,533.0,197.0,336.0,3.0,160.0,203.0,0.0,32.0,0.0,135.0,Elkin City Schools,1.84,2.75,,,,1.3,,2.89,,,1.81
330,Edgecombe County Public Schools,0,0,1,0,0,0,0,0,34,1,22,0,0,0,0,0,58,5753,10.08,,,,,,,350,Franklin County Schools,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,Forsyth County Schools,0.8011111111111111,0.8983333333333333,,1.148,-0.4341666666666666,-0.015833333333333442,0.4970000000000001,1.024166666666667,-0.758181818181818,0.4088888888888889,0.4209090909090911
340,Winston Salem/Forsyth County Schools,3,2,128,2,2,0,0,49,228,13,109,0,1,4,2,0,543,53475,10.15,,,,,,,360,Gaston County Schools,258.0,92.0,166.0,2.0,60.0,28.0,1.0,15.0,0.0,152.0,Franklin County Schools,-0.495,-0.5075000000000001,,,-0.215,-0.8175,,0.2675000000000001,-1.04,-0.8,0.009999999999999898
350,Franklin County Schools,0,0,18,0,0,0,0,3,38,0,29,0,0,0,0,0,88,8061,10.92,,,,,,,370,Gates County Schools,11.0,5.0,6.0,0.0,1.0,5.0,0.0,0.0,0.0,9.0,Gaston County Schools,0.9355555555555556,2.624545454545455,,,1.1999999999999995,1.2772727272727271,0.08333333333333327,1.305,-1.3455555555555556,0.6399999999999999,1.5627272727272723
360,Gaston County Schools,0,0,4,2,0,0,0,4,45,0,9,0,0,0,0,0,64,30857,2.07,,,,,,,380,Graham County Schools,10.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,Gates County Schools,0.79,-3.57,,,-2.79,-3.14,,,-1.4,,-2.64
370,Gates County Schools,0,0,0,0,0,0,0,3,4,0,9,0,0,0,0,0,16,1618,9.89,,,,,,,390,Granville County Schools,53.0,12.0,41.0,0.0,19.0,13.0,0.0,1.0,0.0,20.0,Granville County Schools,1.1275,1.4220000000000002,,,-0.39399999999999996,1.3939999999999997,2.28,1.7959999999999998,-0.8433333333333334,,0.8320000000000001
380,Graham County Schools,0,0,0,0,0,0,0,2,5,0,0,0,0,0,1,0,8,1093,7.32,,,,,,,39B,Oxford Preparatory High School,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Greene County Schools,1.81,5.29,,,2.14,3.815,1.83,3.19,-0.64,,2.38
390,Granville County Schools,0,1,6,0,0,0,0,4,27,3,18,0,0,0,3,0,62,7314,8.48,,,,,,,400,Greene County Schools,5.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,Guilford County Schools,-1.1068181818181817,0.3965384615384614,,1.1400000000000003,0.4820833333333332,0.33916666666666656,0.8323076923076923,0.5852631578947369,-0.3560000000000001,0.014615384615384612,-1.0155555555555555
400,Greene County Schools,0,0,2,0,0,0,0,2,11,0,0,0,0,0,0,0,15,2885,5.2,,,,,,,410,Guilford County Schools,476.0,161.0,315.0,28.0,230.0,94.0,4.0,25.0,0.0,95.0,Halifax County Schools,1.01,0.14500000000000002,2.31,,-0.385,0.08500000000000002,,,-1.95,,
410,Guilford County Schools,33,4,69,0,3,0,1,33,311,13,108,0,0,13,10,0,598,71029,8.42,,,,,,,420,Halifax County Schools,16.0,4.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,Harnett County Schools,-0.5825,0.4739999999999999,,,0.3679999999999999,-0.10999999999999996,-1.413333333333333,-0.3174999999999999,-0.365,0.4199999999999999,-0.14999999999999994
420,Halifax County Schools,0,0,3,0,0,0,0,0,7,0,2,0,0,0,0,0,12,2303,5.21,,,,,,,421,Roanoke Rapids City Schools,23.0,7.0,16.0,0.0,8.0,6.0,0.0,0.0,0.0,9.0,Haywood County Schools,-0.91,-2.675,,,,-2.4325,-0.56,-0.96,-2.975,,-2.5525
