LEA_CODE,LEA_NAME,AR,AW,AP,BT,BS,D,K,PA,PS,PF,PW,R,RW,SA,SO,IM,# of acts,ADM,crime_rate,,,,,,
850,Stokes County Schools,0,0,2,0,0,0,0,9,9,0,5,0,0,1,0,0,26,5747,4.52,,,,,,
860,Surry County Schools,0,0,2,0,0,0,0,6,19,0,7,0,0,0,0,0,34,7549,4.50,,,,,,
861,Elkin City Schools,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1171,0.85,,,,,,
862,Mount Airy City Schools,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,4,1611,2.48,,,,,,
870,Swain County Schools,0,0,4,0,0,0,0,6,8,1,0,0,0,0,0,0,19,1913,9.93,,,,,,
880,Transylvania County Schools,0,0,3,0,0,0,0,3,10,0,4,0,0,0,0,0,20,3308,6.05,,,,,,
890,Tyrrell County Schools,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,626,3.19,,,,,,
900,Union County Public Schools,0,0,35,1,0,0,0,17,154,3,69,0,0,1,1,0,281,41149,6.83,,,,,,
910,Vance County Schools,0,0,5,0,0,0,0,0,20,1,6,0,0,1,0,0,33,5433,6.07,,,,,,
920,Wake County Schools,1,0,72,1,0,0,0,58,411,5,192,0,0,16,0,0,756,159588,4.74,,,,,,
930,Warren County Schools,1,0,1,0,0,0,0,0,12,0,7,0,0,0,1,0,22,1879,11.71,,,,,,
940,Washington County Schools,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1266,1.58,,,,,,
950,Watauga County Schools,0,1,0,0,0,0,0,8,25,0,9,0,0,2,0,0,45,4549,9.89,,,,,,
960,Wayne County Public Schools,0,0,7,2,0,0,0,7,29,2,26,0,0,0,0,0,73,18039,4.05,,,,,,
970,Wilkes County Schools,1,0,6,0,0,0,0,25,29,0,5,0,0,1,2,0,69,8972,7.69,,,,,,
980,Wilson County Schools,0,1,11,2,0,0,0,0,39,5,19,0,0,0,0,0,77,11024,6.98,,,,,,
990,Yadkin County Schools,0,0,1,0,0,0,0,6,22,0,6,0,0,0,5,0,40,5122,7.81,,,,,,
995,Yancey County Schools,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2105,0.48,,,,,,
